name,has_yaml,copies,description,kept_source_path,other_copy_paths
design-review-facilitator,yes,1,Design review planning and execution skill for structured design phase gate reviews per 21 CFR 820.30,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\design-review-facilitator\SKILL.md,
design-review-gate,yes,1,"Parallel design review by 6 specialist agents (PM, Architect, Designer, Security Design, UX, CTO) with mandatory unanimous approval.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\metaswarm\skills\design-review-gate\SKILL.md,
design-system-validator,yes,1,Validate design system compliance in code and detect token usage violations,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\design-system-validator\SKILL.md,
design-token-transformer,yes,1,"Transform design tokens across multiple formats and platforms. Parse W3C design token format, transform to CSS/SCSS/JS/iOS/Android, handle token aliases and references, and generate documentation.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\design-token-transformer\SKILL.md,
design-tokens,yes,1,"Design token management, generation, and multi-platform support.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\design-tokens\SKILL.md,
destruction,yes,1,Destructible environment skill for fracturing and debris systems.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\destruction\SKILL.md,
detention-pond-designer,yes,1,"Detention/retention pond design skill for storage, outlet structures, and emergency spillways",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\detention-pond-designer\SKILL.md,
developer-portal-builder,yes,1,Build unified developer portals with Backstage or custom frameworks,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\developer-portal-builder\SKILL.md,
dfm-review,yes,1,Skill for design for manufacturing review and optimization,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\mechanical-engineering\skills\dfm-review\SKILL.md,
diagram-generation,yes,1,"Multi-format diagram generation from text descriptions. Create Mermaid, PlantUML, D2, and Graphviz diagrams including flowcharts, sequence diagrams, architecture diagrams (C4), and data models.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\diagram-generation\SKILL.md,
diagram-generator,yes,1,Mathematical diagram and visualization generation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\mathematics\skills\diagram-generator\SKILL.md,
dialogue-ai,yes,1,Dialogue system skill for branching conversations and response generation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\dialogue-ai\SKILL.md,
dialogue-crafting,yes,1,"Create character-specific dialogue with distinct voices, subtext, and naturalistic speech patterns",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\film-tv-production\skills\dialogue-crafting\SKILL.md,
diataxis-doc-generator,yes,1,Generate documentation following the Diataxis framework,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\diataxis-doc-generator\SKILL.md,
dicom-conformance-validator,yes,1,DICOM conformance testing and integration skill for medical imaging systems,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\dicom-conformance-validator\SKILL.md,
digital-engagement-strategy,yes,1,"Develop digital content strategies including virtual exhibitions, online programming, social media campaigns, and digital collection access",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\skills\digital-engagement-strategy\SKILL.md,
dilution-analyzer,yes,1,"Models dilution impact across funding rounds, option pool expansions",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\venture-capital\skills\dilution-analyzer\SKILL.md,
Dimensional Model Validator,yes,1,Validates dimensional models against Kimball methodology best practices,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\dimensional-model-validator\SKILL.md,
director-ai,yes,1,AI Director skill for pacing control and dynamic difficulty.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\director-ai\SKILL.md,
discrete-event-simulator,yes,1,Discrete event simulation skill for modeling and analyzing complex systems with stochastic processes.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\discrete-event-simulator\SKILL.md,
dispatching-parallel-agents,yes,1,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies,C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\superpowers\5.1.0\skills\dispatching-parallel-agents\SKILL.md,
dispatching-parallel-agents,yes,1,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\superpowers\skills\dispatching-parallel-agents\SKILL.md,
dispatching-parallel-agents,yes,2,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies,C:\Users\Treml\.codex\.tmp\plugins\plugins\superpowers\skills\dispatching-parallel-agents\SKILL.md,C:\Users\Treml\.codex\plugins\cache\openai-curated\superpowers\1b89ff49\skills\dispatching-parallel-agents\SKILL.md
disruption-response-coordinator,yes,1,Supply chain disruption rapid response skill with impact assessment and mitigation activation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\supply-chain\skills\disruption-response-coordinator\SKILL.md,
distillation-designer,yes,1,"Distillation column design skill for tray/packing selection, hydraulic analysis, and column optimization",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\distillation-designer\SKILL.md,
distributed-caching,yes,1,"Expert skill for distributed cache design, implementation, and optimization using Redis and Memcached. Design cache architectures, configure eviction policies, implement caching patterns (cache-aside, write-through, write-behind), monitor cache performance, and optimize memory usage.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\performance-optimization\skills\distributed-caching\SKILL.md,
distribution-fitter,yes,1,Statistical distribution fitting skill for input modeling in simulation and analysis.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\distribution-fitter\SKILL.md,
dls-particle-sizer,yes,1,Dynamic Light Scattering skill for hydrodynamic size distribution and polydispersity analysis,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\dls-particle-sizer\SKILL.md,
dmaic-project-manager,yes,1,"DMAIC methodology execution skill with tollgate reviews, documentation templates, and project tracking",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\operations\skills\dmaic-project-manager\SKILL.md,
dmg-creator,yes,1,Create macOS DMG installers with custom backgrounds and app placement,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\dmg-creator\SKILL.md,
dns-protocol,yes,1,"Expert skill for DNS protocol implementation, configuration, and service discovery",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\network-programming\skills\dns-protocol\SKILL.md,
do-178c-compliance,yes,1,Skill for planning and executing DO-178C software certification activities,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\do-178c-compliance\SKILL.md,
dock-scheduling-coordinator,yes,1,Automated dock appointment scheduling skill with inbound flow optimization and receiving efficiency management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\logistics\skills\dock-scheduling-coordinator\SKILL.md,
docker-test-environments,yes,1,"Docker-based test environment management for isolated, reproducible test execution. Create Docker Compose environments, manage test containers, configure service dependencies, and integrate with CI/CD pipelines.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\docker-test-environments\SKILL.md,
docker-web,yes,1,"Docker containerization for web apps, multi-stage builds, and optimization.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\docker-web\SKILL.md,
docs-accessibility,yes,1,"Documentation accessibility validation and remediation. Check WCAG 2.1 compliance, validate alt text, analyze heading hierarchy, verify color contrast, and generate accessibility reports.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\docs-accessibility\SKILL.md,
docs-analytics,yes,1,"Documentation usage analytics and insights. Integrate with Google Analytics, Algolia analytics, and custom tracking to measure documentation effectiveness, identify content gaps, and optimize user journeys.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\docs-analytics\SKILL.md,
docs-site-generator,yes,1,"Generate documentation sites using Docusaurus, MkDocs, or VuePress",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\software-architecture\skills\docs-site-generator\SKILL.md,
doctor,yes,7,"Diagnose babysitter run health - journal integrity, state cache, effects, locks, sessions, logs, and disk usage",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-pi\skills\doctor\SKILL.md,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-omp\skills\doctor\SKILL.md; C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-codex\skills\doctor\SKILL.md; C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-cursor\skills\doctor\SKILL.md; C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-github\skills\doctor\SKILL.md; C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-opencode\skills\doctor\SKILL.md; (+1 more)
doctor,yes,2,"Diagnose babysitter run health - journal integrity, state cache, effects, locks, sessions, logs, and disk usage",C:\Users\Treml\.codex\skills\doctor\SKILL.md,C:\Users\Treml\.codex\plugins\cache\local-plugins\babysitter\5.0.0\skills\doctor\SKILL.md
document-redliner,yes,1,"Automated document comparison, redline generation, change tracking",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\venture-capital\skills\document-redliner\SKILL.md,
documentation-generator,yes,1,"Generate documentation for migrated systems including API docs, architecture docs, and runbooks",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\documentation-generator\SKILL.md,
documents,yes,1,"Create, edit, redline, and comment on `.docx` files inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final DOCX.",C:\Users\Treml\.codex\plugins\cache\openai-primary-runtime\documents\26.513.11550\skills\documents\SKILL.md,
docusaurus,yes,1,"Deep integration with Docusaurus for documentation site development. Configure projects, manage sidebars, versioning, i18n, develop plugins, and optimize builds for React-based documentation.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\docusaurus\SKILL.md,
docusign-contracts,yes,1,DocuSign contract and e-signature integration for deal closure,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\docusign-contracts\SKILL.md,
doe-designer,yes,1,Design of Experiments planning and analysis skill for factorial and response surface experiments.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\doe-designer\SKILL.md,
doe-optimizer,yes,1,Skill for optimizing experimental designs using DOE principles,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\doe-optimizer\SKILL.md,
domain-model-extractor,yes,1,Extract domain models from monolithic codebases using DDD principles for microservices decomposition,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\domain-model-extractor\SKILL.md,
donor-relationship-management,yes,1,"Cultivate and steward donor relationships including prospect research, personalized engagement strategies, gift acknowledgment, and impact reporting",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\skills\donor-relationship-management\SKILL.md,
dotenv-integration,yes,1,Integrate dotenv for environment variable loading with validation and type coercion.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\dotenv-integration\SKILL.md,
dotnet-clickonce-config,yes,1,"Configure ClickOnce deployment with auto-update, prerequisites, and publish settings for .NET applications",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\dotnet-clickonce-config\SKILL.md,
doxygen-javadoc,yes,1,"Documentation generation for C, C++, and Java codebases using Doxygen and Javadoc. Extract API documentation from source code, generate cross-references, call graphs, and comprehensive technical documentation.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\doxygen-javadoc\SKILL.md,
dp-optimizer,yes,1,Apply advanced DP optimizations automatically,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\dp-optimizer\SKILL.md,
dp-pattern-library,yes,1,"Maintain and match against a library of classic dynamic programming patterns. Provides pattern matching, template code generation, variant detection, and problem-to-pattern mapping for DP problems.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\dp-pattern-library\SKILL.md,
dp-state-designer,yes,1,Assist in designing optimal DP states and transitions,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\dp-state-designer\SKILL.md,
driver-scheduling-optimizer,yes,1,Automated driver assignment and hours of service compliance skill ensuring regulatory compliance and operational efficiency,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\logistics\skills\driver-scheduling-optimizer\SKILL.md,
drizzle,yes,1,"Drizzle ORM patterns, migrations, type-safe queries, and database schema design.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\drizzle\SKILL.md,
drug-encapsulation-optimizer,yes,1,"Drug delivery formulation skill for optimizing drug loading, encapsulation efficiency, and release kinetics",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\drug-encapsulation-optimizer\SKILL.md,
dsa-process-controller,yes,1,Directed Self-Assembly skill for block copolymer lithography and nanoparticle templating,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\dsa-process-controller\SKILL.md,
dsl-compiler-generator,yes,1,Generate compilers and interpreters for domain-specific languages,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\dsl-compiler-generator\SKILL.md,
dun-bradstreet-data,yes,1,Dun & Bradstreet data quality and firmographic enrichment,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\dun-bradstreet-data\SKILL.md,
durable-objects,yes,1,"Create and review Cloudflare Durable Objects. Use when building stateful coordination (chat rooms, multiplayer games, booking systems), implementing RPC methods, SQLite storage, alarms, WebSockets, or reviewing DO code for best practices. Covers Workers integration, wrangler config, and testing with Vitest. Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",C:\Users\Treml\.codex\.tmp\plugins\plugins\cloudflare\skills\durable-objects\SKILL.md,
dvc-dataset-versioning,yes,1,"Dataset versioning skill using DVC for tracking data changes, managing data pipelines, and ensuring reproducibility.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-science-ml\skills\dvc-dataset-versioning\SKILL.md,
dynamics365-connector,yes,1,Microsoft Dynamics 365 Sales integration with Power Platform support,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\dynamics365-connector\SKILL.md,
early-warning-monitor,yes,1,Continuous supplier and supply chain risk monitoring with automated alerts,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\supply-chain\skills\early-warning-monitor\SKILL.md,
earth-pressure-calculator,yes,1,Earth pressure calculation skill for retaining structures using classical and seismic methods,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\earth-pressure-calculator\SKILL.md,
ebl-process-controller,yes,1,Electron Beam Lithography skill for high-resolution nanopatterning with dose optimization and proximity effect correction,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\ebl-process-controller\SKILL.md,
echidna-fuzzer,yes,1,"Property-based testing and fuzzing using Echidna for smart contracts. Includes invariant definition, corpus management, coverage analysis, and CI/CD integration for comprehensive security testing.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cryptography-blockchain\skills\echidna-fuzzer\SKILL.md,
economic-indicator-tracker,yes,1,Macroeconomic indicator monitoring and analysis skill with trend identification and forecasting,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\finance-accounting\skills\economic-indicator-tracker\SKILL.md,
economy-balancing,yes,1,Virtual economy skill for currency balance.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\economy-balancing\SKILL.md,
Edge Deployment Skill,yes,1,"ML model optimization and deployment on robot edge devices (Jetson, embedded)",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\robotics-simulation\skills\edge-deployment\SKILL.md,
effect-systems,yes,1,"Expert skill for designing and implementing algebraic effect systems including effect annotation, inference, handlers, polymorphism, and row-based effect typing.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\programming-languages\skills\effect-systems\SKILL.md,
efo-ontology-skill,yes,1,"Submit compact EFO OLS4 requests for search, term lookup, children, and descendants. Use when a user wants concise EFO resolution or ontology-expansion summaries",C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\efo-ontology-skill\SKILL.md,
elearning-storyboarding,yes,1,"Create detailed storyboards for interactive digital learning content specifying narration, visuals, interactions, and navigation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\education\skills\elearning-storyboarding\SKILL.md,
electre-comparator,yes,1,ELECTRE family methods skill for outranking-based decision support with concordance and discordance analysis,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\decision-intelligence\skills\electre-comparator\SKILL.md,
electric-motor-design,yes,1,Electric motor and drive unit design and optimization expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\automotive-engineering\skills\electric-motor-design\SKILL.md,
electron-auto-updater-setup,yes,1,"Configure electron-updater with code signing verification, delta updates, staged rollouts, and multiple update channels for Electron applications",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-auto-updater-setup\SKILL.md,
electron-builder-config,yes,1,"Generate and validate electron-builder configuration for multi-platform desktop builds with code signing, auto-update, and platform-specific packaging",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-builder-config\SKILL.md,
electron-ipc-security-audit,yes,1,"Analyze Electron IPC implementations for security vulnerabilities including contextIsolation, nodeIntegration, preload scripts, and channel validation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-ipc-security-audit\SKILL.md,
electron-main-preload-generator,yes,1,"Generate secure main process and preload script boilerplate with proper context isolation, IPC patterns, and security best practices for Electron applications",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-main-preload-generator\SKILL.md,
electron-memory-profiler,yes,1,"Profile Electron app memory usage, detect leaks, analyze renderer process memory, and optimize memory consumption",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-memory-profiler\SKILL.md,
electron-mock-factory,yes,1,"Generate mocks for Electron APIs (ipcMain, ipcRenderer, dialog, etc.) for unit testing",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-mock-factory\SKILL.md,
electron-native-addon-builder,yes,1,"Build and bundle native Node.js addons for Electron with proper ABI compatibility, cross-compilation support, and rebuild automation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-native-addon-builder\SKILL.md,
electron-protocol-handler-setup,yes,1,Register and handle custom URL protocols (deep linking) across platforms for Electron applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-protocol-handler-setup\SKILL.md,
electron-tray-menu-builder,yes,1,"Generate system tray and context menu configurations with platform-specific icons, menu templates, and event handling",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\electron-tray-menu-builder\SKILL.md,
elicit-research-assistant,yes,1,AI-assisted literature review for question-answering over papers and evidence synthesis,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\elicit-research-assistant\SKILL.md,
email,yes,1,"Email sending integration guidance — Resend (native Vercel Marketplace) with React Email templates. Covers API setup, transactional emails, domain verification, and template patterns. Use when sending emails from a Vercel-deployed application.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\email\SKILL.md,
email-marketing,yes,1,Email marketing platform operations and deliverability management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\marketing\skills\email-marketing\SKILL.md,
embedded-crypto,yes,1,"Embedded cryptographic operations and secure element integration. Expert skill for hardware crypto accelerators, secure key storage, TrustZone configuration, and side-channel attack mitigation.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\embedded-systems\skills\embedded-crypto\SKILL.md,
embedded-docs,yes,1,"Embedded firmware documentation generation and maintenance using Doxygen and related tools. Expert skill for API documentation, hardware interface documentation, memory maps, and integration with documentation systems.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\embedded-systems\skills\embedded-docs\SKILL.md,
emcee-mcmc-sampler,yes,1,emcee MCMC skill for Bayesian parameter estimation and posterior sampling in physics applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\physics\skills\emcee-mcmc-sampler\SKILL.md,
emissions-calibration,yes,1,Engine emissions calibration and aftertreatment optimization expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\automotive-engineering\skills\emissions-calibration\SKILL.md,
employee-advocacy,yes,1,Employee social sharing and advocacy program management for amplifying corporate messaging through employee networks,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\public-relations\skills\employee-advocacy\SKILL.md,
employment-compliance,yes,1,Ensure compliance with employment laws and regulations across jurisdictions,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\human-resources\skills\employment-compliance\SKILL.md,
encode-skill,yes,1,"Submit compact ENCODE REST API requests for object lookups, portal-style search, and metadata retrieval. Use when a user wants concise ENCODE summaries",C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\encode-skill\SKILL.md,
encoding-handler,yes,1,"Handle text encoding across platforms including UTF-8, Windows codepages, and BOM handling.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\encoding-handler\SKILL.md,
energy-auditor,yes,1,"Process energy audit skill for consumption analysis, benchmarking, and efficiency improvement identification",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\energy-auditor\SKILL.md,
enet,yes,1,ENet reliable UDP skill for channels and packet fragmentation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\enet\SKILL.md,
engagement-survey,yes,1,"Design, administer, and analyze employee engagement surveys with action planning",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\human-resources\skills\engagement-survey\SKILL.md,
engineering-report-generator,yes,1,Engineering report generation skill for standard technical reports and calculation sheets,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\engineering-report-generator\SKILL.md,
ensembl-skill,yes,1,"Submit compact Ensembl REST API requests for lookup, overlap, cross-reference, and variation endpoints. Use when a user wants concise Ensembl summaries",C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\ensembl-skill\SKILL.md,
entity-management,yes,1,Track and manage subsidiary and entity information,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\legal\skills\entity-management\SKILL.md,
entity-memory-extraction,yes,1,Entity and fact extraction for user profiling and personalization,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ai-agents-conversational\skills\entity-memory-extraction\SKILL.md,
env-var-mapper,yes,1,"Generate environment variable to CLI argument mapping with prefix support, type conversion, and fallback chains for configuration.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\env-var-mapper\SKILL.md,
env-vars,yes,1,"Vercel environment variable expert guidance. Use when working with .env files, vercel env commands, OIDC tokens, or managing environment-specific configuration.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\env-vars\SKILL.md,
env-vars,yes,1,"Vercel environment variable expert guidance. Use when working with .env files, vercel env commands, OIDC tokens, or managing environment-specific configuration.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\env-vars\SKILL.md,
environmental-fate-modeler,yes,1,Environmental nanosafety skill for modeling nanomaterial environmental fate and transport,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\environmental-fate-modeler\SKILL.md,
environmental-impact-analyzer,yes,1,"Environmental impact assessment skill for NEPA, wetlands, and endangered species screening",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\environmental-impact-analyzer\SKILL.md,
environmental-testing,yes,1,Skill for environmental test campaign planning and execution,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\environmental-testing\SKILL.md,
epic-generation,no,1,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\ccpm\skills\epic-generation\SKILL.md,
epic-sdk,yes,1,Epic Online Services skill for launcher integration.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\epic-sdk\SKILL.md,
epics-control-system,yes,1,EPICS control system skill for accelerator and beamline instrument control and monitoring,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\physics\skills\epics-control-system\SKILL.md,
epigraphdb-skill,yes,1,"Submit compact EpiGraphDB API requests for ontology, literature, MR, gene-drug, and support-path evidence. Use when a user wants concise EpiGraphDB summaries",C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\epigraphdb-skill\SKILL.md,
eps-calibration,yes,1,Electric power steering calibration and control development,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\automotive-engineering\skills\eps-calibration\SKILL.md,
eqtl-catalogue-skill,yes,1,Submit compact eQTL Catalogue API requests for association retrieval and documented metadata endpoints. Use when a user wants concise public eQTL Catalogue summaries,C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\eqtl-catalogue-skill\SKILL.md,
equipment-sizing-calculator,yes,1,Process equipment sizing skill using established engineering correlations and standards,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\equipment-sizing-calculator\SKILL.md,
Error Messages,yes,1,Expert skill for designing and implementing high-quality compiler error messages,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\programming-languages\skills\error-messages\SKILL.md,
error-code-catalog,yes,1,Manage and document SDK error codes and messages,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\error-code-catalog\SKILL.md,
error-logging,no,1,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\planning-with-files\skills\error-logging\SKILL.md,
